"Rank","Last.year","Up.or.down","Name","Position","Position.modifier","Club.on.20.Dec.2020","League","Age.on.20.Dec.2020","Nationality","Profile","Writer"
44,"47","3","Lautaro Martínez ","Forward","CENTRE","Inter","Italy",23,"Argentina","After exploding into form under Antonio Conte in 2019, Martínez has oscillated between scintillating quality and frustrating anonymity. His numbers are good – he hit 21 goals across all competitions last season – and he has shown up in big games, scoring a double <a href=""https://www.theguardian.com/football/2020/aug/17/inter-shakhtar-donetsk-europa-league-semi-final-report-lukaku"">in the Europa League semi-final</a> against Shakhtar Donetsk as well as grabbing Inter’s first <a href=""https://www.theguardian.com/football/2020/nov/03/real-madrid-internazionale-champions-league-group-b-match-report"">away to Real Madrid</a> in the Champions League. He turned around Argentina’s World Cup qualifier away to Bolivia with a goal and an assist in October, too. A little more consistency might be all that separates him from a big jump up this list. ","Nicky Bandini"
45,"","New","Ansu Fati","Winger","LEFT","Barcelona","Spain",18,"Spain","A new entry, the second youngest player in the list (he is 10 days older than Eduardo Camavinga), and in all probability in the lowest position he will occupy for the next decade. That, at least, is the hope. <a href=""https://www.theguardian.com/football/2020/nov/09/barcelona-striker-ansu-fati-out-for-four-months-after-knee-surgery-football"">A serious injury</a> has potentially ruined this season for him, which was sad enough anyway, but all the more so as he seemed set to play a starring role for Barcelona and Spain. His emergence is the most exciting at the Camp Nou since <italics>that guy</italics>. Fast, skilful and daring, a fine finisher too, the 18-year-old looks like becoming a genuinely special player for a very long time.  ","Sid Lowe"
46,"122","Re-entry","Thibaut Courtois","Goalkeeper","CENTRE","Real Madrid","Spain",28,"Belgium","Thibaut Courtois’s ability to slip in a mention of the fact that he made a good save (or more) in all his post-match interviews has become a bit of a running joke. But if it’s funny, maybe that’s also because it’s true. After a difficult start at Madrid and often fierce criticism, there is now unanimous approval, which is reflected in his return to our list. Game after game, he rescued Real Madrid as they came back from lockdown and went on a long winning run <a href=""https://www.theguardian.com/football/2020/jul/16/real-madrid-win-la-liga-title-as-benzema-double-defeats-villarreal"">to take the La Liga title</a>. In every match there would be at least one vital save, and growing leadership skills in evidence.  ","Sid Lowe"
47,"119","New","Kingsley Coman","Winger","LEFT","Bayern Munich","Germany",24,"France","Now the winner of nine successive league championships spanning France, Italy and Germany, the perception is that Coman is more than a bit fragile – a view enhanced by the 24-year-old having missed adding France’s 2018 World Cup victory to his staggering trophy haul through injury. Still, he played more club games in 2019-20 than in any other season in his career and in tandem with Serge Gnabry, helped to minimise the impact on Bayern of the Ribéry and Robben era coming to a close. Coman makes the difference in the biggest matches, and did so with the winner <a href=""https://www.theguardian.com/football/2020/aug/23/bayern-munich-paris-saint-germain-psg-champions-league-final-match-report"">in the Champions League final</a> against PSG, the club whose academy he graduated. ","Andy Brassell"
48,"21","-27","Marc-André ter Stegen","Goalkeeper","CENTRE","Barcelona","Spain",28,"Germany","Everyone loves Ter Stegen, and rightly so. On every level, too: a superb goalkeeper, exceptional with his feet, he has embraced life in Catalonia, speaks very well, and is extremely popular, a man everyone can rely on. Which made the back end of last season disconcerting. When even he isn’t performing then you know that something is really wrong. Not that anyone blamed him for the <a href=""https://www.theguardian.com/football/2020/aug/14/thomas-muller-leads-rout-as-bayern-munich-demolish-barcelona-8-2"">8-2 defeat to Bayern Munich</a> and his occasional errors with the ball at his feet are usually forgiven, maybe even indulged, as a price that has to be paid for the greater good.","Sid Lowe"
49,"71","22","Marquinhos","Defender","CENTRE","Paris St-Germain","France",26,"Brazil","The Brazilian started the year by signing a new contract with PSG and by the end of it he was the club’s captain, leading with a steely, unspectacular style that offsets some of the club’s more gaudy stylings. Thomas Tuchel was accused of conservatism for deploying Marquinhos in midfield but the player did his job effectively there and scored vital goals against Atalanta and RB Leipzig in the run <a href=""https://www.theguardian.com/football/2020/aug/23/bayern-munich-paris-saint-germain-psg-champions-league-final-match-report"">to the Champions League final</a>. He returned to his best position in central defence after the departure of Thiago Silva but still popped up with useful goals, notably scoring at Old Trafford to enable PSG to prolong their Champions League campaign <a href=""https://www.theguardian.com/football/2020/dec/02/manchester-united-paris-saint-germain-champions-league-match-report"">at the expense of Manchester United</a>.","Paul Doyle"
50,"86","36","Kai Havertz","Midfielder","CENTRE","Chelsea","England",21,"Germany","The scary thing is that the best is yet to come from the 21-year-old, who has risen 36 places in the rankings. Capable of playing on the flanks, in a central position and as a false nine, Havertz established himself as one of the hottest young prospects in Europe during his final season with Bayer Leverkusen, helping them reach the German Cup final and the Europa League quarter-finals. <a href=""https://www.theguardian.com/football/2020/sep/04/kai-havertz-completes-move-chelsea-from-bayer-leverkusen"">He joined Chelsea</a> to great fanfare and has shown flashes of class since arriving in England, although he will need time to build his fitness after recovering from Covid-19.","Jacob Steinberg"
51,"34","-17","Fabinho","Midfielder","CENTRE","Liverpool","England",27,"Brazil","The Brazilian's fall of 17 places can only be attributed to the ankle ligament and hamstring injuries that have disrupted him in 2020. Once he regained match fitness and momentum after the first setback, the 27-year-old was commanding in the heart of a title-winning midfield. This season his importance to Liverpool has increased with his enforced deployment in central defence enabling the champions to maintain their superiority without Virgil van Dijk or Joe Gomez. Should another title arrive this season it will be down to contributions such as Fabinho's. It is no surprise Liverpool are looking to reward him with <a href=""https://www.theguardian.com/football/2020/dec/07/liverpool-fabinho-new-contract"">an improved and longer-term contract</a>.","Andy Hunter"
52,"156=","New","Dayot Upamecano","Defender","CENTRE","RB Leipzig","Germany",22,"France","Anyone who watched Upamecano's performance in <a href=""https://www.theguardian.com/football/2020/aug/13/rb-leipzig-atletico-madrid-champions-league-quarter-final-match-report"">RB Leipzig's victory over Atlético Madrid</a> in the Champions League quarter-finals back in August will not be surprised to see him feature so highly on this year's list. He put in a colossal defensive display against Diego Simeone's side in the 2-1 win and, after being tipped for greatness from a young age, has now emerged as one of the most sought-after young players in the world. Manchester United and Liverpool are believed to be among his suitors in the Premier League – especially given that he has a reported £38m release clause this summer. But after Upamecano's performances in the Bundesliga over the last three seasons, it's no surprise that Bayern Munich are also said to be keen.","Ed Aarons"
53,"","New","Lucas Ocampos","Winger","RIGHT","Sevilla","Spain",26,"Argentina","Against Eibar last season, Ocampos scored the only goal of the game and, called upon as an emergency goalkeeper, also saved a 101st-minute shot from his opposite number, Marko Dmitrovic, who had gone up for a corner. A new entry, there’s something enjoyably unorthodox about Ocampos: aggressive, direct, relentless, almost childish in his enthusiasm, carrying attacks and bombing all over the place. Sevilla’s top scorer coming in off the wing, his La Liga tally of 14 more than double that of any of his teammates, he led them to a Champions League place and to <a href=""https://www.theguardian.com/football/2020/aug/21/internazionale-sevilla-europa-league-final-match-report"">Europa League success</a>.  ","Sid Lowe"
54,"68","14","Thiago Silva","Defender","CENTRE","Chelsea","England",36,"Brazil","A mainstay on the list since its inception in 2012, the Brazilian veteran shows no sign of slowing down despite his age. The 36-year-old provided outstanding leadership as <a href=""https://www.theguardian.com/football/2020/aug/23/bayern-munich-paris-saint-germain-psg-champions-league-final-match-report"">PSG reached the Champions League final</a> last season, rarely putting a foot wrong in central defence. He had an excellent game against Bayern Munich in the final and has impressed since <a href=""https://www.theguardian.com/football/2020/aug/27/chelsea-sign-thiago-silva-on-free-transfer"">joining Chelsea on a free transfer</a>, using his experience to improve his new team’s defensive record. Fears that his lack of pace would be exposed in England have proved misplaced. He has oozed class in a Chelsea shirt.","Jacob Steinberg"
55,"22","-33","N'Golo Kanté","Midfielder","CENTRE","Chelsea","England",29,"France","It has not been easy for Kanté since he defied a knee injury to help <a href=""https://www.theguardian.com/football/2019/may/29/chelsea-arsenal-europa-league-final-match-report-eden-hazard"">Chelsea beat Arsenal</a> in the Europa League final in 2019. Short-term gain caused problems down the line. Playing through the pain barrier was commendable but the midfielder has struggled for fitness since that game, explaining his fall down the rankings. Injury problems restricted Kanté to 28 appearances last season and he was off the pace when he did play, raising concerns that the 29-year-old’s powers were waning. This season, though, he has been closer to his best: fitter, sharper and as energetic as ever. It is clear why Frank Lampard still values him so highly.","Jacob Steinberg"
56,"61","5","Casemiro","Midfielder","CENTRE","Real Madrid","Spain",28,"Brazil","“It’s not the legs, it’s the mind that’s in charge,"" Casemiro <a href=""https://www.theguardian.com/football/2020/aug/05/casemiro-zidane-real-madrid-defensive-midfielder-manchester-city"">said recently</a>. ""I always thought the key was thinking: being better positioned, seeing the move before it happens. I love to learn. I watch back, see the errors, evaluate. I love that. I always try to read the game, the other team’s mind. I have Wyscout and watch everything. It’s my work. And I love it. My life is football. I think permanently about football.” It shows. Arguably the world’s best defensive midfielder and probably the most important player in <a href=""https://www.theguardian.com/football/2020/jul/16/real-madrid-win-la-liga-title-as-benzema-double-defeats-villarreal"">Madrid’s title-winning team</a> last season.","Sid Lowe"
57,"64","7","Duván Zapata","Forward","CENTRE","Atalanta","Italy",29,"Colombia","Atalanta’s captain, Papu Gómez, described Zapata as a “train” this April, confessing that sometimes he was afraid to even get close to the striker on the training ground for fear of getting crushed. In matches, though, he was happy enough to watch the Colombian roll over opposing defences, scoring time after time through the summer to keep Atalanta on track for a second consecutive third-place finish. The Bergamo club upgraded his loan from Sampdoria into a permanent deal in January, paying a club record €25m fee. ","Nicky Bandini"
58,"26","-32","Luis Suárez","Forward","CENTRE","Atlético Madrid","Spain",33,"Uruguay","Down 32 places, but on the way back up again? Forced out at Barcelona, where he had become the third-top scorer in their history, some thought that Suárez’s time was up and his knees were gone. Diego Simeone, though, was not among them. The Atlético manager, long an admirer, pushed to bring him to Madrid, provoking Barcelona to momentarily back out at the last minute, terrified that he might actually turn out to be quite good still. Which he did. He <a href=""https://www.theguardian.com/football/blog/2020/sep/28/hurricane-luis-suarez-unleashed-in-spectacular-atletico-madrid-arrival-la-liga-sid-lowe"">scored twice on his debut</a> for a side that are currently leaving his old side lagging behind in La Liga.  ","Sid Lowe"
59,"","New","Jack Grealish","Midfielder","CENTRE","Aston Villa","England",25,"England","Aston Villa fans had craved wider acknowledgement that their hero is one of the best players around. This year Grealish demonstrated it in style, inspiring Villa to Premier League survival, then helping them push on this season and, after being <a href=""https://www.theguardian.com/football/2020/sep/08/denmark-england-nations-league-match-report"">given a chance by Gareth Southgate in September</a>, lighting up the international stage by <a href=""https://www.theguardian.com/football/2020/nov/12/jack-grealish-pulls-england-strings-republic-of-ireland-friendly"">adding an exciting, unpredictable new dimension to England</a>. Flash? Whatever. He demands attention in the best possible way, by drawing opponents to him and then dancing through them, swatting them aside, eliminating them with a cute pass to a freed teammate or just forcing them to kick him to the ground. This year marks his first appearance in the top 100 and any remaining critics can be bumped aside in the manner of Héctor Bellerín during <a href=""https://www.theguardian.com/football/2020/nov/08/arsenal-aston-villa-premier-league-match-report"">Villa’s 3-0 win at the Emirates</a> in November.","Paul Doyle"
60,"29","-31","Hakim Ziyech","Winger","RIGHT","Chelsea","England",27,"Morocco","The Moroccan’s slide in the rankings is easy to explain: he has simply not played much football this year. The pandemic meant he played his last game for Ajax on 7 March and although he officially became a Chelsea player on 1 July, he was not eligible to feature for his new side at the end of last season. Ziyech had to be content with training with his new teammates and his hopes of making a fast start in England suffered a setback when he injured a knee in pre-season, meaning he could not make his Chelsea debut until October. Since then, though, <a href=""https://www.theguardian.com/football/2020/oct/28/hakim-ziyech-stars-in-chelseas-crushing-victory-over-krasnodar"">he has been superb</a>.","Jacob Steinberg"
61,"","New","Josip Ilicic","Forward","CENTRE","Atalanta","Italy",32,"Slovenia","This has been a rollercoaster year for Ilicic, who began 2020 in extraordinary form – an early-January brace against Parma was followed later that month with a hat-trick (featuring <a href=""https://www.theguardian.com/football/2020/aug/07/its-the-bandinis-2020-the-complete-review-of-serie-as-2019-20-season"">a goal from the halfway line</a>) against Torino and then a <a href=""https://www.theguardian.com/football/2020/mar/10/valencia-atalanta-champions-league-last-16-second-leg-match-report"">four-goal obliteration of Valencia</a> in the Champions League in March. He did not score another goal for eight months thereafter, his purple patch interrupted first by the pandemic and then personal issues that led him to take some time away from football. He returned to Atalanta in October, and got back on the scoresheet in <a href=""https://www.theguardian.com/football/2020/nov/25/liverpool-atalanta-champions-league-match-report"">the victory over Liverpool</a> at Anfield. ","Nicky Bandini"
62,"30","-32","Kalidou Koulibaly","Defender","CENTRE","Napoli","Italy",29,"Senegal","This was supposed to be the year when Napoli finally cashed in on Koulibaly, their highest-paid player, but a combination of dipping performances and a global pandemic subdued the market for the centre-back with a reported €150m release clause written into his contract. Perhaps it will turn out for the best. Like many others, Koulibaly has seen his form gradually rebound under Gennaro Gattuso and he shut out Cristiano Ronaldo as Napoli <a href=""https://www.theguardian.com/football/2020/jun/17/napoli-hold-nerve-to-sink-juventus-in-shootout-after-goalless-coppa-italia-final"">won the Coppa Italia</a> in June. That was his first piece of silverware since the Supercoppa he won in his debut season at the club.","Nicky Bandini"
63,"","New","Diogo Jota","Winger","LEFT","Liverpool","England",24,"Portugal","The versatile forward enters the list for the first time. After showing supreme bursts of the dribbling, deft first touch and imagination that marked him as one of Wolves’ most dangerous players during their rise to Europe, he was <a href=""https://www.theguardian.com/football/2020/sep/18/liverpool-sign-thiago-alcantara-from-bayern-munich-jurgen-klopp"">acquired by Liverpool for £41m</a> and immediately soared. In just his fifth start, Jota dismantled Atalanta in Bergamo <a href=""https://www.theguardian.com/football/2020/nov/03/atalanta-liverpool-champions-league-group-d-match-report"">with a hat-trick</a> and he scored nine goals in his first 14 appearances for Liverpool before injury struck against Midtjylland. Having arrived in a squad featuring a celebrated attacking trio of Roberto Firmino, Mohamed Salah and Sadio Mané, so far Jota has comported himself like their equal. ","Tumaini Carayol"
64,"76","12","Memphis Depay","Winger","LEFT","Lyon","France",26,"Netherlands","The Dutchman has moved up in the list despite being out of action for the first half of the year because of torn knee ligaments. Lockdown and the early termination of Ligue 1 meant he did not miss as many matches as he would otherwise have done. His goals and leadership ensured Lyon reached the Champions League knockout stages and he regained fitness in time to help them advance, scoring a crucial penalty in helping to <a href=""https://www.theguardian.com/football/2020/aug/07/juventus-lyon-champions-league-match-report"">oust Juventus in the last 16</a>. When Ligue 1 returned in August, he showed his determination to pick up where he left off by scoring a hat-trick on the opening day against Dijon.","Paul Doyle"
65,"13","-52","Sergio Agüero","Forward","CENTRE","Manchester City","England",32,"Argentina","An ever-present in these lists since their inception eight years ago, but a drop of 52 places is an indication 2020 was not one of his vintage years. After managing to win over an initially sceptical Pep Guardiola and keep his place ahead of a Gabriel Jesus who looks callow by comparison, Agüero is still the most reliable finisher at the club and has long been regarded as one of the most consistent performers in Premier League history. He missed a lot of games <a href=""https://www.theguardian.com/football/2020/dec/08/sergio-aguero-face-fitness-test-for-manchester-citys-marseille-trip"">through injury this year</a>, however, and even if he makes a full recovery it is debatable how long he can continue to spearhead the Manchester City attack when he will be 33 in 2021.  ","Paul Wilson"
66,"","New","Federico Valverde","Midfielder","CENTRE","Real Madrid","Spain",22,"Uruguay","Five years is a long time in football. In 2015, Valverde was named among 50 of world football’s best young talents in <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/07/next-generation-2015-50-of-the-best-young-talents-in-world-football"">the Guardian’s Next Generation list</a>. Now he steps up to the main ranking after a year that has seen him become an essential cog in Zinedine Zidane’s midfield three. Valverde has developed into an excellent all-round midfielder who can move possession on slickly, press hard and break the lines with bursts of speed. He is adding goals to his game and one of them, in October, opened the scoring in <a href=""https://www.theguardian.com/football/2020/oct/24/barcelona-real-madrid-la-liga-match-report"">Real’s clásico win at the Camp Nou</a>. Nicknamed “The little bird”, Valverde adds a classic Uruguayan toughness alongside energy and dynamism that have long been an issue for Real’s ageing engine room.","Nick Ames"
67,"102","Re-entry","Keylor Navas","Goalkeeper","CENTRE","Paris St-Germain","France",34,"Costa Rica","The Costa Rican has proved to be a bargain recruit for PSG, who picked him up for around £11m from Real Madrid. After excelling against his former club in the group stages of the Champions League he continued to deliver commanding performances for the French club, radiating a solidity that inspired a team sometimes prone to brittleness. “Keylor is very good and strong and gives us confidence,” said his manager Thomas Tuchel. “With him we are calmer.” The way he has responded to being let go by Real has led to him returning to our top 100.","Paul Doyle"
68,"","New","Marcel Sabitzer","Winger","RIGHT","RB Leipzig","Germany",26,"Austria","Until last season, Sabitzer’s undoubted gifts had not always translated into regular end product. But in 2019-20 he came alive, scoring nine Bundesliga goals and 16 in total, adding seven assists on the domestic stage. He was on target twice <a href=""https://www.theguardian.com/football/2020/mar/10/rb-leipzig-tottenham-champions-league-last-16-second-leg-match-report"">against Spurs in the Champions League</a> in March and it all constitutes the blossoming of an attacking midfielder whose potential was rarely in doubt. Sabitzer is a classic product of the Red Bull machine, having arrived at RB Leipzig as a 20-year-old when they were a second-tier club before enjoying a breakthrough season on loan at Red Bull Salzburg. He can sometimes look unorthodox but his energy, speed of thought and ability with the dead ball exist in the top bracket. Perhaps it is in the genes: his father Herfried was, like him, an Austrian international.","Nick Ames"
69,"18","-51","Matthijs de Ligt","Defender","CENTRE","Juventus","Italy",21,"Netherlands","A steep drop for De Ligt, who featured on only 23 of our 241 judges’ lists. The Dutchman needed time to find his feet after <a href=""https://www.theguardian.com/football/2019/jul/18/matthijs-de-ligt-joins-juventus-from-ajax-75m-deal"">joining Juventus last summer</a>, but his arms seemed to be the greater problem early this year – when he found himself a repeat victim of the new handball laws. His performances had been improving through the spring and early summer, before a shoulder injury sidelined him for more than three months. A commanding presence in <a href=""https://www.theguardian.com/football/2020/mar/08/european-roundup-juventus-inter-serie-a-real-madrid-betis-bayern"">Juventus’s win over Inter in March</a>, he popped up with some important goals in their title push too.","Nicky Bandini"
70,"16","-54","Bernardo Silva","Winger","RIGHT","Manchester City","England",26,"Portugal","Another of Pep Guardiola's wing-midfield options, Silva has not been able to replicate the consistency or productivity that saw him voted City's player of the year in 2019. He was deputising for the injured De Bruyne when <a href=""https://www.theguardian.com/football/2019/may/12/manchester-city-liverpool-premier-league-title"">Manchester City won the title</a>, something not many players would be able to do, but has become slightly more peripheral since. Has now played more games for City than Monaco, without scoring quite as many goals. Made <a href=""https://www.theguardian.com/football/2019/oct/21/six-liverpool-players-on-ballon-dor-shortlist-bronze-and-white-nominated"">the shortlist for the Ballon d'Or</a> a year ago, but a drop of over 50 places in these rankings shows he has not been as prominent in 2020.  ","Paul Wilson"
71,"45","-26","Luka Modric","Midfielder","CENTRE","Real Madrid","Spain",35,"Croatia","It’s a long way <a href=""https://www.theguardian.com/football/ng-interactive/2018/dec/18/the-100-best-male-footballers-in-the-world-2018-nos-100-71"">from first</a> to 71st in just two years, suggesting a dramatic collapse that hasn’t really been the case. Russia 2018, where Modric <a href=""https://www.theguardian.com/football/2018/jul/15/france-croatia-world-cup-final-match-report"">led Croatia to the final</a>, meant that year was an outlier that probably served to exaggerate his performances during those 12 months and his decline since. He is older, yes, and there were moments early last season when it looked like his time might be coming to an end, with Federico Valverde emerging as an energetic alternative in midfield. But since football resumed in June he has been superb, and is still beautiful to watch.","Sid Lowe"
72,"","New","Houssem Aouar","Midfielder","CENTRE","Lyon","France",22,"France","Lyon's desire to hold on to one of their prized assets in the face of <a href=""https://www.theguardian.com/football/2020/sep/26/arsenal-bid-for-houssem-aouar-rejected-by-lyon-transfer"">Arsenal's interest</a> in the summer may not have done Mikel Arteta any favours but Aouar's displays this season have helped his boyhood club mount what could turn out to be a serious title challenge. The 22-year-old also caught the eye in Lyon's <a href=""https://www.theguardian.com/football/2020/aug/15/manchester-city-lyon-champions-league-quarter-final-match-report"">surprise victory over Manchester City</a> in the Champions League quarter-final but is believed to be in the sights of PSG next summer having made his first senior appearance for France in October against Ukraine. Manchester City, Real Madrid and Juventus are also said to be pursuing the midfielder. ","Ed Aarons"
73,"43","-30","Georginio Wijnaldum","Midfielder","CENTRE","Liverpool","England",30,"Netherlands","One reason presented for the midfielder's reluctance to sign a new contract at Liverpool is uncertainty over his role in Jürgen Klopp's future plans. That argument beggars belief. No midfielder made more appearances during Liverpool's Premier League title winning campaign than Wijnaldum, one of five Dutchmen on the list. Only Andy Robertson and Mohamed Salah have started more games this season too at the time of writing. He is Klopp's Mr Dependable, a selfless and tireless operator whose quick feet and distribution under pressure are a crucial part of Liverpool's success. Barcelona want him on a free next summer but Liverpool, understandably, hope to persuade the 30-year-old <a href=""https://www.theguardian.com/football/2020/jun/09/liverpool-and-georginio-wijnaldum-hold-positive-talks-over-new-contract"">to extend his fruitful Anfield career</a>. ","Andy Hunter"
74,"152","New","Martin Ødegaard","Midfielder","CENTRE","Real Madrid","Spain",22,"Norway","Ødegaard was supposed to spend two years on loan at Real Sociedad but at the end of the 2019-20 season, Real Madrid decided to bring him back early. That was a reflection of their needs and his level. Playing off the front, with freedom to move all over midfield from where he delivered a wide range of clever passes and offered unexpected leadership, taking responsibility for the team, a case could genuinely be made for declaring him La Liga’s best player before the suspension in March. Nacho Monreal said his departure left Real Sociedad “orphaned”, but opportunities have been limited since his return to Madrid.","Sid Lowe"
75,"91","16","Leroy Sané","Winger","LEFT","Bayern Munich","Germany",24,"Germany","Between his continued recovery from a torn ACL, <a href=""https://www.theguardian.com/football/2020/jul/03/transfer-news-leroy-sane-joins-bayern-munich-from-manchester-city"">a move from Manchester City to Bayern Munich</a> that has so far seen him primarily used from the bench and his new manager Hansi Flick noting that he ""still has room to improve"", this has not been an ideal year for Sané. It is testament to his stratospheric ability that he remains one of the best in the world for a fourth year running. By mid-December Sané’s cold-blooded efficiency and relentlessness when running at goal this season had yielded five goals, three assists and the expectation that he is on the verge of reaching even greater heights. ","Tumaini Carayol"
76,"90","14","Achraf Hakimi","Defender","RIGHT","Internazionale","Italy",22,"Morocco","The perception in Italy was that Inter got away with daylight robbery when they snapped up Hakimi <a href=""https://www.theguardian.com/football/2020/jul/02/transfers-internazionale-sign-achraf-hakimi-real-madrid"">for €40m in July</a>. Hakimi had contributed five goals and 10 assists while playing at Borussia Dortmund, on loan from Real Madrid, last season and wasted no time in showing what he could do for the Nerazzurri, delivering an assist off the bench on his debut against Fiorentina, then scoring in his first start four days later. There have been some missteps since, but Antonio Conte believes his lightning-quick full-back has room to get even better yet. ","Nicky Bandini"
77,"49","-28","Riyad Mahrez","Winger","RIGHT","Manchester City","England",29,"Algeria","Intermittently brilliant for Manchester City though nothing like the force he was at Leicester in their title-winning season, when <a href=""https://www.theguardian.com/football/ng-interactive/2016/dec/20/the-100-best-footballers-in-the-world-2016-interactive"">he was 10th in our list</a>. The Algerian is at least getting a little more game time this season with David Silva and Leroy Sané out of the way and managed <a href=""https://www.theguardian.com/football/2020/nov/28/manchester-city-burnley-premier-league-match-report"">a hat-trick against Burnley</a>, though that added to accusations that he only tends to sparkle against the smaller sides. He still hasn't really made the adjustment from being one of the first names on the teamsheet at Leicester to being one of several talented players Pep Guardiola likes to keep in rotation.  ","Paul Wilson"
78,"111","New","Raúl Jiménez","Forward","CENTRE","Wolverhampton Wanderers","England",29,"Mexico","The only Mexican in the Top 100 is one of the most complete centre-forwards in the world, a player who scores regularly but whose contribution is measured in much more than goals. Throughout Wolves' run <a href=""https://www.theguardian.com/football/2020/aug/06/wolves-olympiakos-europa-league-last-16-second-leg-match-report"">to the Europa League quarter-finals</a> and seventh place in the Premier League, he served not just as a spearhead but also as a wide man, a creator, a ball-winner and an aerial powerhouse in both boxes. He is smart, deft and selfless enough to link up with any teammate and earn unanimous admiration. The sickening collision with David Luiz that led to him <a href=""https://www.theguardian.com/football/2020/nov/29/arsenal-wolves-premier-league-match-report"">suffering a fractured skull</a> curtailed his 2020 efforts in November and now looks to leave Wolves deprived of his qualities for a sustained period.","Paul Doyle"
79,"10","-69","Frenkie de Jong","Midfielder","CENTRE","Barcelona","Spain",23,"Netherlands","Frenkie went to Hollywood and it all fell apart. The outstanding midfielder in the Champions League in 2018-19, he became the summer’s biggest signing at Barcelona but finished the 2019-20 season on the wrong end of <a href=""https://www.theguardian.com/football/2020/aug/14/thomas-muller-leads-rout-as-bayern-munich-demolish-barcelona-8-2"">an 8-2 hammering</a>. “It’s a big disappointment; not just for me but for the club,” he said. “We’re the biggest club in the world, we have to perform much better.” Amid a collective crisis at every level not much of the blame was directed his way but, often uncomfortable, out of position and unable to impose himself, his performances had been poor too.   ","Sid Lowe"
80,"","New","Dominic Calvert-Lewin","Forward","CENTRE","Everton","England",23,"England","A first appearance on the list for the Everton centre-forward underlines the impressive strides he has made since Carlo Ancelotti got to work on him 12 months ago. The Everton manager, with key contributions from assistant Duncan Ferguson, felt Calvert-Lewin was doing too much of his best work outside the penalty area and in the channels. He has impressed on him the need to take charge inside the box instead, and for first-time finishing reminiscent of Filippo Inzaghi, and was repaid with goalscoring that reached double figures in the league by the end of November. The 23-year-old also scored on his <a href=""https://www.theguardian.com/football/2020/oct/08/england-wales-international-friendly-match-report"">England debut against Wales</a> in October.","Andy Hunter"
81,"100","19","Philippe Coutinho","Midfielder","CENTRE","Barcelona","Spain",28,"Brazil","Only one Barcelona player left Lisbon with any credit in August, and that was the one that didn’t play for them, appearing (and apologetically scoring, twice) for Bayern instead during the <a href=""https://www.theguardian.com/football/2020/aug/14/thomas-muller-leads-rout-as-bayern-munich-demolish-barcelona-8-2"">stunning 8-2 Champions League victory</a>. Yet if a year on loan in Germany brought some hope – and an unexpected climb in this list – it didn’t last long. Bayern didn’t want to keep him, Barcelona couldn’t sell him, and the optimism that came with renewed opportunity at the Camp Nou quickly evaporated. The talent is there, but Coutinho appears to lack confidence and continues to struggle to find a role in a dysfunctional Barcelona side.","Sid Lowe"
82,"144","New","Richarlison","Forward","CENTRE","Everton","England",23,"Brazil","Carlo Ancelotti believes the Brazilian has all the attributes to be ""a top, top striker"" after finishing the past two seasons with 13 Premier League goals. There is no disputing his importance to Everton – who have not won a Premier League game in Richarlison's absence since <a href=""https://www.theguardian.com/football/2018/jul/24/everton-complete-40m-signing-richarlison-watford"">he joined the club in 2018</a> – but there is work to be done to fulfil the Italian's prediction in terms of consistency and concentration. Now firmly established in the national setup under Tite, the 23-year-old has impressed on the left and at centre-forward for club and country.","Andy Hunter"
83,"14","-69","Eden Hazard","Forward","CENTRE","Real Madrid","Spain",29,"Belgium","Hazard falls 69 spots after a hellish injury-plagued 2020. His setbacks include a microfracture to his right leg, a broken fibula, hamstring complaints, various knocks and a positive coronavirus test. There have been fleeting glimpses of his talent, including a thunderous 35-yard finish <a href=""https://www.theguardian.com/football/2020/oct/31/european-football-round-up"">against Huesca in October</a>, but each hopeful moment has been cruelly snuffed out by another complication. His luck will surely turn, but he will need ample resilience to rediscover his best form at a club as demanding and impatient as Real Madrid. ""Sometimes injuries happen and we have to endure,"" said Zinedine Zidane. ""He is strong, I have no doubt.“","Tumaini Carayol"
84,"78","-6","Dries Mertens","Forward","CENTRE","Napoli","Italy",33,"Belgium","This was the year when Mertens overtook Marek Hamsik to become Napoli’s all-time leading scorer, though he was the first to put that achievement in perspective after Diego Maradona, who held the record before Hamsik, <a href=""https://www.theguardian.com/football/2020/nov/25/diego-maradona-dies-one-of-greatest-footballers-of-all-time-argentina-world-cup-1986"">died last month</a>. “Forgive me if my name has ever been placed close to yours,” he wrote, “I could never be at your levels.” Indeed not, but Maradona himself was a fan, <a href=""https://twitter.com/dries_mertens14/status/1272601292356157442?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1272601292356157442%7Ctwgr%5E%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.football-italia.net%2F154530%2Fvideo-maradona-congratulates-mertens"">sharing a video full of praise</a> when the record fell in June. And if Mertens has not yet emulated Diego and led Napoli to a Scudetto, he did <a href=""https://www.theguardian.com/football/2020/jun/17/napoli-hold-nerve-to-sink-juventus-in-shootout-after-goalless-coppa-italia-final"">lift his second Coppa Italia</a> with them in June, after scoring the goal that won the semi-final.","Nicky Bandini"
